source_text,target_glyphs,source_len,target_len,categories,pair_id
o rakau tangi to te tangata tangata i moe ika,g012 g018 g051 g097 g097 g004 g043 g043 g028 g028 g098 g053 g031,10,13,det noun verb part det noun noun part verb noun,17
Koihu Hotu moe te vahine ki ki noho mua ki tangata tangata mai nga,g091 g081 g051 g002 g022 g097 g096 g053 g040 g096 g016 g020 g101 g002,14,14,name name verb det noun part part verb noun part noun noun part det,18
te tangata ma te ika noho mai he a te vai,g001 g029 g096 g096 g001 g016 g055 g100 g015 g001 g014 g014 g014 g024,11,14,det noun part det noun verb part det det det noun,19
na tangata hele,g001 g021 g069,3,3,det noun verb,20
ka tangata haere,g015 g021 g051,3,3,det noun verb,21
i Makemake inu hitu,g102 g086 g054 g071,4,4,part name verb num,22
te tangata haere tau tangata noho ma he tangata tangata haere hele,g002 g002 g018 g068 g007 g040 g040 g052 g098 g011 g011 g025 g032 g055 g051,12,15,det noun verb det noun verb part det noun noun verb verb,23
he manu tae rima manu i te,g001 g024 g024 g024 g051 g072 g021 g101 g006,7,9,det noun verb num noun part det,24
te vahine moe ka tangata ora i ona maunga tau,g001 g017 g052 g002 g016 g051 g099 g001 g017 g001,10,10,det noun verb det noun verb part det noun det,25
nga motu mate i,g001 g001 g019 g051 g096,4,5,det noun verb part,26
na tamaiti haere va pua,g011 g017 g053 g071 g026,5,5,det noun verb num noun,27
ka vahine noho i a vahine ra ihu ia i he,g002 g050 g051 g098 g002 g016 g101 g021 g021 g104 g097 g097 g097 g008,11,14,det noun verb part det noun part noun part part det,28
o tangata inu ki te,g007 g019 g056 g102 g004,5,5,det noun verb part det,29
tahi te tangata haere i te vahine haere vahine nga tangata tangata tau,g072 g001 g017 g056 g097 g003 g016 g016 g060 g030 g003 g016 g027 g001,13,14,num det noun verb part det noun verb noun det noun noun det,30
i Kena moe tahi ika ma a,g101 g101 g081 g061 g077 g020 g096 g006,7,8,part name verb num noun part det,31
na nga tangata noho mai,g103 g012 g016 g059 g098,5,5,part det noun verb part,32
e tamaiti hula na te,g001 g001 g017 g051 g096 g004,5,6,det noun verb part det,33
te tangata noho na te vahine nga vahine,g002 g030 g064 g098 g002 g016 g003 g003 g036 g036,8,10,det noun verb part det noun det noun,34
te mate ora mai tau raa tuku moe ko tau,g001 g016 g054 g098 g003 g016 g051 g058 g001 g001 g001,10,11,det noun verb part det noun verb verb det det,35
te mahina korero,g013 g039 g057,3,3,det noun verb,36
Tuu Hotu oho tanaa tamaiti,g081 g081 g053 g001 g001 g001 g035,5,7,name name verb det noun,37
o tamaiti haere rua huea i moana ka he,g009 g022 g022 g055 g076 g016 g096 g096 g021 g013 g005,9,11,det noun verb num noun part noun det det,38
he tangata haere rua vahine i he nga vahine tangata huti te,g014 g018 g018 g068 g071 g016 g104 g004 g001 g017 g032 g051 g001,12,13,det noun verb num noun part det det noun noun verb det,39
Hotu ora te vahine i ana kai he tangata atu tangata,g090 g059 g001 g036 g099 g099 g098 g098 g051 g015 g018 g098 g020,11,13,name verb det noun part part verb det noun part noun,40
te kai haere i ona matangi a i tangata,g003 g024 g055 g101 g001 g028 g001 g001 g098 g016,9,10,det noun verb part det noun det part noun,41
tou tangata rere ki nga vahine vahine,g002 g002 g020 g051 g051 g096 g013 g016 g016 g028,7,10,det noun verb part det noun noun,42
tahi na ana ala i te,g071 g001 g016 g052 g097 g001,6,6,num det noun verb part det,43
ki Koihu hula toru vahine i he tangata ki i moe kou tangata,g096 g081 g054 g072 g022 g096 g001 g016 g096 g096 g097 g051 g010 g025,13,14,part name verb num noun part det noun part part verb det noun,44
Hotu kai he tangata ei to manu i tangata,g081 g056 g006 g024 g096 g096 g017 g098 g016 g016,9,10,name verb det noun part part noun part noun,45
Hotu araara te tangata no ki tamaiti mo mai moe tiki atu tau,g083 g059 g001 g038 g038 g099 g098 g017 g097 g097 g053 g066 g097 g001,13,14,name verb det noun part part noun part part verb verb part det,46
e motu haere te rakau tiki mai te rima,g001 g019 g055 g011 g019 g055 g055 g055 g097 g097 g001 g020,9,12,det noun verb det noun verb part det noun,47
te vai haere,g013 g016 g051,3,3,det noun verb,48
Tiki kai na tamaiti i tangata tangata tangata ki korero,g081 g051 g007 g007 g025 g096 g043 g028 g029 g029 g096 g051,10,12,name verb det noun part noun noun noun part verb,49
te tangata korero tahi raa atu a na vahine te mai,g001 g029 g060 g071 g019 g096 g001 g001 g016 g014 g099,11,11,det noun verb num noun part det det noun det part,50
te tangata noho,g013 g021 g055,3,3,det noun verb,51
Koihu ala tau tangata i atu tangata tau vahine nga,g081 g064 g003 g028 g096 g096 g096 g028 g004 g042 g004 g004,10,12,name verb det noun part part noun det noun det,52
nga vahine huri i,g001 g038 g051 g051 g096,4,5,det noun verb part,53
to te tangata kai ai te ua ora,g096 g006 g037 g060 g060 g098 g008 g017 g051,8,9,part det noun verb part det noun verb,54
te tangata haere hitu tangata mai ki hula kai atu haere,g001 g029 g051 g071 g071 g044 g097 g096 g051 g053 g098 g053 g053,11,13,det noun verb num noun part part verb verb part verb,55
te tangata rere tahi,g004 g018 g051 g072,4,4,det noun verb num,56
te mate kite tahi tangata mai inu haere tae mai rakau tangata,g002 g018 g051 g077 g040 g100 g052 g051 g054 g100 g049 g037 g037,12,13,det noun verb num noun part verb verb verb part noun noun,57
e uri mate i Hotu tonu he tuku kai,g001 g001 g034 g054 g101 g101 g086 g097 g012 g012 g012 g062 g062 g068,9,14,det noun verb part name part det verb verb,58
te tangata mai te tangata noho ki mai,g002 g030 g096 g096 g001 g016 g051 g096 g100 g100,8,10,det noun part det noun verb part part,59
he manu hana mai he tamaiti ki tau he haere haere i ki haere,g002 g020 g052 g096 g007 g016 g096 g006 g015 g062 g051 g099 g104 g051,14,14,det noun verb part det noun part det det verb verb part part verb,60
taua vahine noho no na rakau ora inu i te tau i kohu te,g009 g018 g061 g096 g004 g019 g056 g051 g098 g002 g005 g099 g052 g002,14,14,det noun verb part det noun verb verb part det det part verb det,61
he vai haere na te ika ana vahine topa tuku tamaiti tangata,g014 g019 g068 g068 g096 g003 g036 g096 g016 g059 g057 g025 g037 g037,12,14,det noun verb part det noun part noun verb verb noun noun,62
o he tangata haere i he tangata i mo o tau tangi,g105 g001 g040 g053 g096 g001 g017 g096 g100 g100 g100 g001 g001 g001 g051 g051,12,16,part det noun verb part det noun part part det det verb,63
nga manu tau ki te roe ki,g001 g024 g051 g096 g001 g026 g097,7,7,det noun verb part det noun part,64
e ruga haere mai te mata vahine maa,g002 g038 g051 g051 g096 g002 g022 g016 g016 g035 g035 g035,8,12,det noun verb part det noun noun noun,65
te vahine haere rima_tekau uri i,g002 g019 g060 g072 g034 g096,6,6,det noun verb num noun part,66
te tamaiti kai mo te tangata haere i maa,g003 g022 g051 g101 g004 g004 g016 g052 g098 g098 g016,9,11,det noun verb part det noun verb part noun,67
Ngaara tiki te,g081 g081 g057 g005,3,4,name verb det,68
te ana mate tahi ika,g007 g023 g058 g074 g025,5,5,det noun verb num noun,69
ki he paea tau ma,g097 g003 g016 g052 g096,5,5,part det noun verb part,70
rua te vahine haere ki te tamaiti e te noho,g072 g002 g002 g017 g051 g097 g003 g039 g001 g001 g052,10,11,num det noun verb part det noun det det verb,71
tahi he vahine haere ki he tangata tae ki,g071 g001 g016 g051 g096 g001 g016 g096 g096,9,9,num det noun verb part det noun part part,72
he raa mo he raa noho i,g001 g017 g100 g002 g016 g054 g054 g098,7,8,det noun part det noun verb part,73
te tamaiti ki tau,g004 g026 g099 g099 g012 g012 g012,4,7,det noun part det,74
te tangata i te tamaiti ala i ki vahine he kai,g001 g029 g096 g001 g017 g054 g054 g101 g101 g097 g016 g001 g069 g069,11,14,det noun part det noun verb part part noun det verb,75
tahi te ivi hoki mai te pepe haere nue tau na,g071 g008 g008 g041 g051 g096 g002 g016 g052 g051 g051 g010 g096,11,13,num det noun verb part det noun verb verb det part,76
Tuu noho te ika ki no tangata i te te noho no,g081 g051 g001 g022 g103 g103 g100 g017 g096 g096 g001 g002 g062 g062 g096,12,15,name verb det noun part part noun part det det verb part,77
tahi te tangata haere i o vahine tau mate he inu noho i i,g079 g001 g016 g051 g100 g013 g016 g058 g051 g003 g053 g051 g096 g098,14,14,num det noun verb part det noun verb verb det verb verb part part,78
e motu noho ki nga tangata nga mate o i taua,g001 g023 g051 g096 g002 g016 g001 g051 g012 g012 g097 g019,11,12,det noun verb part det noun det verb det part noun,79
he tamaiti inu mai he vahine ua mai kai,g001 g001 g001 g022 g022 g059 g096 g096 g012 g020 g017 g096 g068,9,13,det noun verb part det noun noun part verb,80
te vahine haere pe taku marama tamaiti,g011 g022 g060 g096 g001 g044 g034 g034 g034,7,9,det noun verb part det noun noun,81
a maunga haere i teia tangata,g001 g017 g060 g101 g002 g022,6,6,det noun verb part det noun,82
te tangata ma he vahine haere ki i manu ora atu rau kai,g012 g019 g096 g096 g001 g001 g001 g022 g064 g097 g097 g023 g061 g061 g098 g016 g055,13,17,det noun part det noun verb part part noun verb part noun verb,83
tau mahina i e marama haere tonu he vahine ana ki hoki ua te,g001 g031 g098 g003 g030 g059 g096 g002 g047 g045 g105 g105 g096 g027 g002,14,15,det noun part det noun verb part det noun noun part part noun det,84
na hare kite ma he,g011 g024 g051 g096 g096 g001,5,6,det noun verb part det,85
Rangi hana te paea atu na o motu,g081 g051 g002 g021 g102 g002 g099 g099 g016,8,9,name verb det noun part det part noun,86
ka vahine haere,g015 g018 g051,3,3,det noun verb,87
te vahine tomo i he tangata ma,g011 g022 g022 g022 g052 g097 g002 g002 g016 g099,7,10,det noun verb part det noun part,88
te tangata hula tahi vahine,g007 g019 g051 g074 g074 g024,5,6,det noun verb num noun,89
Tangaroa inu te vahine ma,g087 g054 g054 g008 g016 g096,5,6,name verb det noun part,90
i tau raa haere hoi te ava,g101 g011 g017 g051 g096 g011 g016 g016,7,8,part det noun verb part det noun,91
ra Hotu hele,g096 g081 g069,3,3,part name verb,92
te tangata huti,g013 g021 g057,3,3,det noun verb,93
te tamaiti haere pe tau vahine moe a maa,g003 g003 g022 g055 g098 g098 g005 g020 g064 g104 g104 g016,9,12,det noun verb part det noun verb part noun,94
te tamaiti ala tahi vahine,g007 g017 g056 g074 g024,5,5,det noun verb num noun,95
te tangata inu mo te tamaiti te ei tangata he noho i rere,g012 g019 g059 g096 g003 g016 g002 g096 g021 g007 g059 g097 g097 g097 g064,13,15,det noun verb part det noun det part noun det verb part verb,96
te vahine toa takua ua mate mai,g011 g022 g022 g022 g098 g001 g001 g001 g017 g051 g096,7,11,det noun part det noun verb part,97
Rua haere te tangata i rima,g085 g063 g006 g038 g097 g017,6,6,name verb det noun part noun,98
te motu ora mo te tangata i,g011 g037 g051 g102 g001 g016 g098 g098,7,8,det noun verb part det noun part,99
Hotu Ngaara inu te mata,g081 g081 g056 g056 g002 g018,5,6,name name verb det noun,100
o tangata haere va hue i ala vahine nga rakau,g012 g040 g040 g040 g051 g051 g071 g016 g103 g051 g051 g016 g001 g022 g022 g022,10,16,det noun verb num noun part verb noun det noun,101
Koihu inu nga tamaiti ra ki haere noho ki atu o haere tpu,g084 g084 g084 g052 g001 g018 g105 g098 g098 g051 g051 g051 g051 g096 g101 g007 g056 g016,13,18,name verb det noun part part verb verb part part det verb noun,102
taua tangata ora to tau ika haere tanaa ra kai haere kai i i,g009 g016 g016 g058 g096 g003 g016 g016 g016 g068 g001 g101 g051 g051 g051 g096 g098,14,17,det noun verb part det noun verb det part verb verb verb part part,103
te raa huri to he tpu taa i inu huti tou i mai,g012 g045 g056 g101 g001 g042 g098 g097 g097 g056 g052 g052 g001 g097 g096,13,15,det noun verb part det noun part part verb verb det part part,104
Hotu haere aku tangata i te mate kai tena tangata ika,g090 g051 g051 g001 g028 g099 g099 g002 g054 g051 g001 g017 g017 g017,11,14,name verb det noun part det verb verb det noun noun,105
te tangata ala atu he,g007 g007 g019 g056 g096 g096 g001,5,7,det noun verb part det,106
he tangata noho i te tangata na nga haere i tau toa inu,g015 g019 g052 g099 g003 g018 g096 g001 g051 g097 g001 g101 g054,13,13,det noun verb part det noun part det verb part det part verb,107
te raa hula i tau ika ei kai ai,g003 g003 g016 g053 g101 g005 g018 g018 g096 g096 g051 g096,9,12,det noun verb part det noun part verb part,108
te tangata haere atu na tangata ra te te,g003 g016 g016 g016 g055 g096 g004 g016 g098 g001 g006,9,11,det noun verb part det noun part det det,109
Tangaroa kite ka ana mai te,g092 g061 g001 g001 g001 g016 g096 g001,6,8,name verb det noun part det,110
he vahine ue ki tau vahine o i ko te tangata tangata makemake no,g002 g018 g051 g100 g003 g016 g096 g100 g003 g002 g016 g020 g064 g097 g097 g097,14,16,det noun verb part det noun part part det det noun noun verb part,111
he vahine haere te tangata moe ta nga tangata mai i i mata,g015 g016 g051 g051 g004 g020 g051 g096 g001 g021 g096 g098 g097 g033,13,14,det noun verb det noun verb part det noun part part part noun,112
te tangata tiki ki teia vahine mai noho i tangata,g001 g040 g052 g098 g003 g016 g096 g051 g096 g022,10,10,det noun verb part det noun part verb part noun,113
i te vahine haere no tau tangata korero,g096 g006 g016 g051 g051 g096 g002 g031 g056 g056,8,10,part det noun verb part det noun verb,114
i na vahine,g096 g002 g016,3,3,part det noun,115
Maui hiamoe te ruga i i ona,g090 g056 g005 g044 g100 g101 g101 g001,7,8,name verb det noun part part det,116
ma he vahine kai ki te maa manu tangata rakau rakau,g096 g006 g026 g026 g055 g099 g099 g002 g002 g016 g018 g018 g024 g018,11,14,part det noun verb part det noun noun noun noun noun,117
taua vaka moe i te tamaiti mo tangata tangata tangata,g002 g050 g052 g101 g004 g016 g016 g101 g029 g040 g022,10,11,det noun verb part det noun part noun noun noun,118
nga tamaiti noho ra te tangata mo amo rima te taua he mai he,g015 g016 g061 g096 g014 g035 g097 g097 g097 g057 g038 g002 g001 g005 g101 g012,14,16,det noun verb part det noun part verb noun det det det part det,119
Hotu haere te tamaiti mai vahine ana haere he tau haere tamaiti te,g083 g051 g051 g001 g018 g097 g027 g021 g060 g003 g004 g052 g020 g007,13,14,name verb det noun part noun noun verb det det verb noun det,120
tena tamaiti ala na he tangata i i ei i a tangata vahine,g003 g035 g053 g104 g001 g018 g018 g098 g097 g097 g097 g102 g027 g027 g020,13,15,det noun verb part det noun part part part part part noun noun,121
mou rau kite tahi kopu toa he te,g005 g048 g052 g074 g019 g097 g002 g006,8,8,det noun verb num noun part det det,122
na tangata haere tahi tamaiti,g011 g019 g053 g074 g035 g035 g035,5,7,det noun verb num noun,123
te tangata korero tae nga,g007 g019 g054 g100 g009,5,5,det noun verb part det,124
tau tangata no o tangata moe,g002 g020 g097 g009 g009 g050 g052,6,7,det noun part det noun verb,125
rima nga matangi kai atu o,g071 g001 g016 g052 g101 g015,6,6,num det noun verb part det,126
na tangata haere i te moka tau,g001 g020 g060 g097 g001 g001 g016 g007,7,8,det noun verb part det noun det,127
nga vahine haere to Koihu ki,g001 g019 g060 g098 g081 g104,6,6,det noun verb part name part,128
Tuu haere taua ana,g082 g053 g002 g036,4,4,name verb det noun,129
no Tuu inu tahi manu,g096 g082 g056 g074 g016,5,5,part name verb num noun,130
o ika inu i te vahine nga ki tangata maa tamaiti rakau inu,g002 g016 g059 g099 g003 g003 g027 g006 g096 g021 g018 g048 g018 g054,13,14,det noun verb part det noun det part noun noun noun noun verb,131
te waha haere te ika noho mai te,g002 g030 g051 g001 g021 g051 g051 g097 g006 g006,8,10,det noun verb det noun verb part det,132
Tangaroa noho te tangata atu tangata atu ruga i vahine inu,g088 g058 g001 g028 g028 g096 g016 g096 g021 g098 g016 g053,11,12,name verb det noun part noun part noun part noun verb,133
tena tangata mate atu Tangaroa nei makemake,g002 g020 g051 g096 g083 g100 g055,7,7,det noun verb part name part verb,134
he tamaiti moe o e manu tangata,g001 g016 g061 g102 g002 g016 g016,7,7,det noun verb part det noun noun,135
o vahine hahau hongahuru tangata atu,g001 g001 g019 g051 g071 g050 g096,6,7,det noun verb num noun part,136
te raro kai tahi,g004 g022 g051 g072,4,4,det noun verb num,137
he tangata haere ma he ika atu noho haere haere mai tangata kai,g015 g019 g051 g096 g001 g022 g098 g051 g051 g051 g098 g027 g055,13,13,det noun verb part det noun part verb verb verb part noun verb,138
te mata kai rua tangata i noho tau te korero tamaiti tangata,g002 g017 g056 g071 g040 g104 g051 g002 g001 g055 g025 g037,12,12,det noun verb num noun part verb det det verb noun noun,139
mai te tangata tangi i he tamaiti,g099 g001 g021 g021 g059 g100 g006 g034,7,8,part det noun verb part det noun,140
Hotu kai he ao mai a,g081 g055 g001 g020 g096 g004,6,6,name verb det noun part det,141
tana vahine i te tangata haere ki oho tau tamaiti vai inu ona,g001 g016 g096 g004 g020 g064 g097 g097 g051 g051 g051 g002 g022 g017 g054 g007 g007,13,17,det noun part det noun verb part verb det noun noun verb det,142
na ika inu tahi,g003 g025 g054 g054 g054 g072,4,6,det noun verb num,143
na reka kai na a au ki ki ika i i,g001 g001 g033 g051 g097 g002 g002 g002 g017 g096 g096 g097 g018 g018 g097 g098,11,16,det noun verb part det noun part part noun part part,144
a pepe haere mo te tangata i,g002 g024 g060 g102 g102 g001 g016 g016 g098,7,9,det noun verb part det noun part,145
Pua hahau te tangata mai i o ki tau kai,g085 g060 g003 g028 g028 g028 g098 g103 g001 g105 g002 g052,10,12,name verb det noun part part det part det verb,146
e raa pe tau mata haere pe mo he i he haere hoki moe,g001 g016 g103 g001 g001 g016 g059 g096 g096 g097 g015 g101 g003 g051 g052 g053,14,16,det noun part det noun verb part part det part det verb verb verb,147
nga tamaiti tangi ra te tangata atu,g001 g016 g065 g102 g001 g016 g096,7,7,det noun verb part det noun part,148
a tamaiti noho i Papa i i,g002 g016 g062 g097 g094 g094 g101 g098,7,8,det noun verb part name part part,149
tau tangata hana i nga taringa te ki tahu kai i he,g007 g018 g057 g098 g005 g016 g001 g096 g051 g051 g051 g070 g102 g001 g001,12,15,det noun verb part det noun det part verb verb part det,150
te matangi hula tau motu kai i teia vahine te,g001 g016 g052 g052 g001 g018 g055 g099 g012 g042 g042 g001,10,12,det noun verb det noun verb part det noun det,151
i te titi haere toa te tangata ki te haere,g096 g096 g002 g024 g051 g097 g097 g003 g003 g028 g105 g001 g068,10,13,part det noun verb part det noun part det verb,152
Matua Rua haere takua tangata mo i rakau haere,g082 g082 g055 g001 g017 g102 g099 g020 g058 g058,9,10,name name verb det noun part part noun verb,153
o tangata haere ono tamaiti mai te,g001 g001 g020 g060 g071 g018 g018 g096 g006,7,9,det noun verb num noun part det,154
tau rakau haere nei na tangata,g002 g016 g060 g102 g003 g022,6,6,det noun verb part det noun,155
va tau vahine kite ki na maui inu vahine inu te i,g071 g007 g016 g054 g103 g002 g016 g066 g066 g017 g017 g052 g002 g096,12,14,num det noun verb part det noun verb noun verb det part,156
nga pepe ai ki nga vahine na ra ala moana tangata inu,g006 g016 g051 g104 g104 g005 g017 g096 g097 g051 g017 g021 g053 g053,12,14,det noun verb part det noun part part verb noun noun verb,157
he rakau kai toru uri,g012 g038 g051 g078 g023,5,5,det noun verb num noun,158
tou vahine ki na hue inu mai hoki i,g001 g016 g016 g016 g096 g004 g021 g051 g097 g096 g096,9,11,det noun part det noun verb part part part,159
tau tangata haere tahi,g002 g018 g061 g072,4,4,det noun verb num,160
Makemake makemake tana manu atu tangata mai i tau te vai haere,g081 g053 g003 g036 g100 g017 g096 g096 g004 g002 g017 g052,12,12,name verb det noun part noun part part det det noun verb,161
nga ika haere ki te tangata i rakau na te i,g003 g042 g051 g096 g001 g016 g101 g016 g097 g014 g098,11,11,det noun verb part det noun part noun part det part,162
he tangata noho mo te vai,g001 g001 g020 g052 g052 g096 g002 g016 g016,6,9,det noun verb part det noun,163
ka tangata hele nga tangata noho ia te tangata ihu he i ki,g015 g019 g019 g052 g001 g020 g055 g105 g001 g021 g020 g005 g005 g097 g100,13,15,det noun verb det noun verb part det noun noun det part part,164
taua tangata kai i te tamaiti o hele te ora kai te tonu,g015 g019 g058 g099 g003 g016 g004 g052 g011 g061 g051 g007 g096,13,13,det noun verb part det noun det verb det verb verb det part,165
ma he tamaiti inu mo te ava kai haere tangata i matangi,g096 g096 g001 g025 g057 g096 g008 g017 g051 g070 g070 g032 g102 g029,12,14,part det noun verb part det noun verb verb noun part noun,166
a te hue kai ki na ika tamaiti manu te te,g097 g008 g029 g055 g055 g099 g002 g016 g020 g017 g014 g001,11,12,part det noun verb part det noun noun noun det det,167
tahi he vahine kai ki o tamaiti ona vahine ki na puke ika rakau,g079 g002 g043 g051 g103 g013 g019 g004 g047 g047 g047 g096 g101 g051 g026 g027,14,16,num det noun verb part det noun det noun part part verb noun noun,168
Hotu Hotu haere te ika atu i haere tangata hiamoe haere,g090 g092 g051 g001 g016 g016 g096 g101 g052 g018 g018 g054 g053,11,13,name name verb det noun part part verb noun verb verb,169
tau uru kai tahi raa atu korero vai vahine,g002 g016 g051 g073 g049 g096 g055 g028 g028 g018,9,10,det noun verb num noun part verb noun noun,170
nga tangata haere i Tuu na te te vahine mai to ai tangata ai,g015 g016 g067 g098 g082 g097 g001 g001 g002 g047 g099 g099 g097 g067 g021 g021 g058,14,17,det noun verb part name part det det noun part part verb noun verb,171
atu Hina kai rua ika ei a vai,g098 g082 g052 g075 g021 g096 g001 g033 g033,8,9,part name verb num noun part det noun,172
toruteke na tamaiti kite i teia ana topa ora i,g077 g001 g019 g019 g054 g096 g002 g022 g057 g052 g097,10,11,num det noun verb part det noun verb verb part,173
nga tangata haere tahi roe mai te,g001 g020 g060 g077 g016 g096 g096 g006 g006,7,9,det noun verb num noun part det,174
tau tangata ala mo nga tamaiti kou matangi tamaiti te e huti he,g001 g019 g053 g096 g001 g016 g002 g046 g016 g009 g009 g053 g005,13,13,det noun verb part det noun det noun noun det det verb det,175
he vahine noho toru ika toa vahine i,g004 g029 g064 g071 g021 g021 g097 g016 g098,8,9,det noun verb num noun part noun part,176
te rakau haere i te ika a maunga matangi nga,g001 g018 g051 g101 g004 g016 g006 g032 g024 g004,10,10,det noun verb part det noun det noun noun det,177
te tangata haere he ika inu mo he vahine tangata i,g001 g029 g051 g003 g016 g016 g051 g096 g015 g016 g017 g098,11,12,det noun verb det noun verb part det noun noun part,178
te manu inu o te tamaiti ki tau te mou mai ora,g002 g002 g018 g051 g096 g003 g016 g016 g096 g002 g001 g001 g105 g051,12,14,det noun verb part det noun part det det det part verb,179
Hotu haere tana marama mo tau i he i i,g081 g055 g008 g008 g016 g100 g004 g099 g099 g012 g012 g096 g097,10,13,name verb det noun part det part det part part,180
na tamaiti hula ei te,g011 g011 g017 g051 g096 g004,5,6,det noun verb part det,181
he tangata tangi na he vahine ma tamaiti i ihu tangata kume he,g015 g019 g069 g104 g001 g027 g097 g097 g016 g099 g020 g016 g051 g005,13,14,det noun verb part det noun part noun part noun noun verb det,182
te tangata noho i,g004 g018 g018 g053 g053 g096,4,6,det noun verb part,183
nga vai haere ka tangata moe,g001 g016 g060 g010 g050 g052,6,6,det noun verb det noun verb,184
he vahine i aku tangata noho ki ana atu haere tamaiti i matangi,g015 g016 g096 g096 g007 g007 g020 g055 g097 g100 g097 g051 g048 g097 g017,13,15,det noun part det noun verb part part part verb noun part noun,185
te manava ala rua,g004 g046 g052 g073,4,4,det noun verb num,186
te tangata noho i Ngaara nei atu vahine te atu tangi,g001 g029 g051 g098 g081 g096 g096 g096 g029 g029 g011 g098 g098 g054,11,14,det noun verb part name part part noun det part verb,187
tahi te rakau noho ai te vai haere haere tangata,g071 g002 g019 g069 g069 g101 g003 g036 g051 g056 g022,10,11,num det noun verb part det noun verb verb noun,188
tau vahine i te vahine ora,g002 g019 g097 g097 g001 g016 g016 g016 g053 g053 g053,6,11,det noun part det noun verb,189
rima tau tangata ora no,g071 g001 g016 g053 g097,5,5,num det noun verb part,190
te tangata haere he tangata noho na tau tangata na atu te,g002 g018 g068 g001 g040 g052 g096 g002 g002 g025 g097 g098 g001,12,13,det noun verb det noun verb part det noun part part det,191
te tangata noho tahi mua i tau haere ki haere manu i,g002 g018 g051 g077 g077 g025 g104 g104 g007 g051 g100 g060 g017 g096,12,14,det noun verb num noun part det verb part verb noun part,192
ko tangata mate mo Hotu i tau tae tau,g007 g016 g016 g054 g101 g086 g086 g096 g001 g051 g001 g001 g001,9,13,det noun verb part name part det verb det,193
Hotu noho tau ika ia noho haere ma i tiki manu vai te atu,g081 g051 g001 g020 g096 g055 g068 g105 g098 g098 g070 g023 g023 g028 g001 g098,14,16,name verb det noun part verb verb part part verb noun noun det part,194
nga raa tangi ana na marama na tangata,g005 g021 g065 g096 g001 g017 g098 g018,8,8,det noun verb part det noun part noun,195
teia tangata noho i,g004 g018 g053 g096,4,4,det noun verb part,196
tou tamaiti haere,g003 g016 g051 g051,3,4,det noun verb,197
he vahine inu atu Tane ki,g001 g019 g051 g105 g088 g104,6,6,det noun verb part name part,198
he tangata huti mo te,g012 g019 g051 g096 g096 g004,5,6,det noun verb part det,199
Ngaara huti te vahine toa kai tangata,g084 g084 g052 g005 g017 g101 g051 g016,7,8,name verb det noun part verb noun,200
i tau tangata noho o he tangata te atu ika te uri,g097 g097 g097 g007 g040 g068 g096 g001 g017 g001 g097 g016 g002 g033,12,14,part det noun verb part det noun det part noun det noun,201
Rongo Rua noho tena tangata mai i i noho,g088 g082 g082 g053 g001 g001 g017 g097 g099 g098 g051,9,11,name name verb det noun part part part verb,202
Hotu Tuu kai,g081 g085 g051,3,3,name name verb,203
