doc_id,line_id,position,token,features,description,source
M-8A,7,1,P316,"[0, 1, 0, 1, 0, 0, 2]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-8A,7,2,P011,"[0, 1, 0, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-8A,7,3,P270,"[0, 1, 0, 3, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-9A,8,1,P144,"[0, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-9A,8,2,P205,"[0, 1, 0, 3, 3, 1, 0, 1]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-9A,8,3,P327,"[0, 1, 0, 1, 2, 1, 1, 0, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-10A,9,1,P086,"[0, 1, 0, 2, 3, 2, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-10A,9,2,P204,"[0, 1, 0, 0, 1]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-10A,9,3,P114,"[0, 1, 0, 1]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-10A,9,4,P151,"[0, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-10A,9,5,P316,"[0, 1, 0, 1, 0, 0, 2]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-10A,9,6,P060,"[0, 1, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-10A,9,7,P364,"[0, 1, 0, 2, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-10A,9,8,P122,"[0, 1, 0, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-10A,9,9,P067,"[0, 1, 0, 0, 1, 1, 1]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-10A,9,10,P221,"[20, 1, 30, 0]",unicorn I seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-12A,10,1,P324,"[20, 1, 30, 0, 0, 1, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-12A,10,2,P086,"[0, 1, 0, 3, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-12A,10,3,P276,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-12A,10,4,P058,"[0, 1, 0, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-12A,10,5,P122,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-12A,10,6,P202,"[0, 1, 0, 1, 2]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-12A,10,7,P386,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-12A,10,8,P182,"[0, 1, 0, 1, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-12A,10,9,P108,"[0, 1, 0, 0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-13A,11,1,P202,"[0, 1, 0, 0, 3]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-13A,11,2,P205,"[0, 1, 0, 3, 5, 1, 13, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-13A,11,3,P035,"[0, 1, 0, 1, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-14A,12,1,P324,"[10, 1, 10, 1, 0, 0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-14A,12,2,P117,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-14A,12,3,P210,"[0, 1, 0, 6]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-14A,12,4,P122,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-14A,12,5,P385,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-15A,13,1,P013,"[10, 1, 10]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-15A,13,2,P324,"[0, 1, 0, 1, 0, 2, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-15A,13,3,P194,"[0, 1, 0, 4, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-15A,13,4,P122,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-15A,13,5,P385,"[0, 1, 0, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-16A,14,1,P378,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-16A,14,2,P026,"[0, 1, 0, 5]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-16A,14,3,P151,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-16A,14,4,P346,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-17A,15,1,P086,"[10, 1, 10, 3, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-17A,15,2,P126,"[0, 1, 0, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-17A,15,3,P122,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-17A,15,4,P369,"[0, 1, 0, 2]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-17A,15,5,P232,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-18A,16,1,P341,"[0, 1, 0, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-18A,16,2,P324,"[0, 1, 0, 1, 0, 0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-18A,16,3,P142,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-19A,17,1,P000,"[0, 1, 0, 75]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-19A,17,2,P122,"[50, 1, 40, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-19A,17,3,P385,"[0, 1, 0, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-20A,18,1,P086,"[30, 1, 20, 3, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-20A,18,2,P125,"[20, 1, 10, 2, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-20A,18,3,P122,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-20A,18,4,P385,"[0, 1, 0, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-20A,18,5,P147,"[10, 1, 10]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-20A,18,6,P147,"[10, 1, 10]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-20A,18,7,P215,"[0, 1, 0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-20A,18,8,P275,"[0, 1, 0, 0, 0, 2]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-21A,19,1,P091,"[0, 1, 0, 3, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-21A,19,2,P121,"[0, 1, 0, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-21A,19,3,P324,"[0, 1, 0, 1, 0, 0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-21A,19,4,P272,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-21A,19,5,P256,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-21A,19,6,P145,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-21A,19,7,P122,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-21A,19,8,P385,"[0, 1, 0, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-22A,20,1,P324,"[30, 1, 10, 1, 0, 2, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-22A,20,2,P172,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-22A,20,3,P194,"[0, 1, 0, 4, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-22A,20,4,P050,"[10, 1, 10]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-22A,20,5,P145,"[10, 1, 10]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-22A,20,6,P230,"[20, 1, 10, 0, 0, 0, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-22A,20,7,P000,"[0, 1, 0, 15]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-23A,21,1,P324,"[10, 1, 10, 1, 0, 0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-23A,21,2,P197,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-23A,21,3,P120,"[0, 1, 0, 0, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-23A,21,4,P256,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-23A,21,5,P217,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-23A,21,6,P050,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-23A,21,7,P060,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-23A,21,8,P121,"[0, 1, 0, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-23A,21,9,P160,"[50, 1, 40]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-23A,21,10,P350,"[0, 2, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-23A,21,11,P390,"[10, 2, 20, 1, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-23A,21,12,P076,"[0, 2, 0, 0, 1, 8]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-23A,21,13,P202,"[0, 2, 0, 1, 3]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-24A,22,1,P013,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-24A,22,2,P324,"[0, 1, 0, 1, 0, 1, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-24A,22,3,P062,"[0, 1, 0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-24A,22,4,P060,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-24A,22,5,P122,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-24A,22,6,P174,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-24A,22,7,P011,"[30, 1, 70, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-25A,23,1,P268,"[10, 1, 0, 2, 7]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-25A,23,2,P268,"[20, 1, 10, 2, 7]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-25A,23,3,P050,"[0, 1, 50]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-25A,23,4,P316,"[0, 1, 0, 0, 0, 1, 2]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-25A,23,5,P276,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-26A,24,1,P013,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-26A,24,2,P324,"[0, 1, 0, 1, 0, 2, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-26A,24,3,P228,"[0, 1, 0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-26A,24,4,P120,"[0, 1, 0, 0, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-26A,24,5,P256,"[0, 1, 0, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-27A,25,1,P238,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-27A,25,2,P060,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-27A,25,3,P364,"[0, 1, 0, 3, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-27A,25,4,P325,"[0, 1, 0, 1, 0, 0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-27A,25,5,P311,"[0, 1, 0, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-27A,25,6,P154,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-27A,25,7,P123,"[80, 1, 50, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-28A,26,1,P000,"[0, 1, 0, 10]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-28A,26,2,P103,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-28A,26,3,P324,"[0, 1, 0, 1, 0, 0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-28A,26,4,P332,"[0, 1, 0, 2, 0, 3, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-28A,26,5,P349,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-28A,26,6,P095,"[0, 1, 0, 5]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-28A,26,7,P122,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-28A,26,8,P385,"[0, 1, 0, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-29A,27,1,P324,"[10, 1, 0, 0, 0, 1, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-29A,27,2,P142,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-29A,27,3,P062,"[0, 1, 0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-29A,27,4,P060,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-29A,27,5,P364,"[0, 1, 0, 3, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-29A,27,6,P122,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-29A,27,7,P050,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-29A,27,8,P221,"[0, 1, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-29A,27,9,P210,"[20, 1, 20, 3]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-30A,28,1,P324,"[0, 1, 0, 0, 0, 1, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-30A,28,2,P332,"[0, 1, 0, 2, 1, 2, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-30A,28,3,P127,"[0, 1, 0, 0, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-30A,28,4,P210,"[0, 1, 0, 4]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-30A,28,5,P062,"[0, 1, 0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-30A,28,6,P060,"[0, 1, 0]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-30A,28,7,P364,"[0, 1, 0, 3, 1]",unicorn II seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-31A,29,1,P324,"[40, 1, 50, 1, 0, 0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-31A,29,2,P067,"[0, 1, 0, 0, 1, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-31A,29,3,P275,"[0, 1, 0, 1, 1, 1]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-31A,29,4,P058,"[0, 1, 0, 1]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-31A,29,5,P120,"[0, 1, 0, 0, 1]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-31A,29,6,P378,"[0, 1, 0, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-32A,30,1,P086,"[0, 1, 0, 3, 1, 0, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-32A,30,2,P123,"[0, 1, 0, 2]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-32A,30,3,P122,"[0, 1, 0, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-32A,30,4,P385,"[0, 1, 0, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-33A,31,1,P324,"[20, 1, 10, 1, 0, 0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-33A,31,2,P145,"[0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-33A,31,3,P175,"[0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-33A,31,4,P111,"[0, 1, 0, 1]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-33A,31,5,P058,"[0, 1, 0, 1]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-33A,31,6,P122,"[0, 1, 0, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-33A,31,7,P041,"[0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-34A,32,1,P324,"[0, 1, 0, 1, 0, 1, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-34A,32,2,P309,"[0, 1, 0, 1, 2, 1, 1]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-34A,32,3,P194,"[0, 1, 0, 4, 0, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-34A,32,4,P122,"[0, 1, 0, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-34A,32,5,P086,"[0, 1, 0, 2, 3, 2, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-34A,32,6,P108,"[0, 1, 0, 0, 0, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-34A,32,7,P103,"[0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-35A,33,1,P324,"[0, 1, 0, 1, 0, 1, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-35A,33,2,P086,"[0, 1, 0, 2, 3, 2, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-35A,33,3,P276,"[0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-35A,33,4,P058,"[0, 1, 0, 1]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-35A,33,5,P056,"[0, 1, 0, 1]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-35A,33,6,P122,"[0, 1, 0, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-35A,33,7,P007,"[0, 1, 0, 1]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-36A,34,1,P324,"[40, 1, 50, 1, 0, 1, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-36A,34,2,P358,"[10, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-36A,34,3,P270,"[0, 1, 0, 2, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-36A,34,4,P050,"[0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-36A,34,5,P145,"[0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-36A,34,6,P122,"[0, 1, 0, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-36A,34,7,P202,"[0, 1, 0, 1, 2]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-36A,34,8,P174,"[0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-36A,34,9,P307,"[0, 1, 0, 3]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-37A,35,1,P217,"[0, 1, 0, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-37A,35,2,P050,"[0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-37A,35,3,P092,"[0, 1, 0, 5]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-38A,36,1,P324,"[10, 1, 10, 1, 0, 0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-38A,36,2,P256,"[0, 1, 0, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-38A,36,3,P188,"[0, 1, 0, 0, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-38A,36,4,P073,"[0, 1, 0, 1, 1]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-38A,36,5,P050,"[0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-38A,36,6,P145,"[0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-38A,36,7,P062,"[0, 1, 0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-38A,36,8,P060,"[0, 1, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
M-38A,36,9,P122,"[0, 1, 0, 0]",unicorn III seal,indus_valley_corpus_parpola_cisi_mayig_2025
