tablet_id,line_id,position,glyph,category,boustrophedon_dir
T0005,1,1,g107,rare,ltr
T0005,1,2,g009,det,ltr
T0005,1,3,g017,noun,ltr
T0005,1,4,g066,verb,ltr
T0005,1,5,g020,noun,ltr
T0005,1,6,g098,part,ltr
T0005,2,1,g100,rare,rtl
T0005,2,2,g100,part,rtl
T0005,2,3,g109,rare,rtl
T0005,2,4,g052,verb,rtl
T0005,2,5,g017,noun,rtl
T0005,2,6,g017,noun,rtl
T0005,2,7,g005,det,rtl
T0005,3,1,g071,num,ltr
T0005,3,2,g016,noun,ltr
T0005,3,3,g096,part,ltr
T0005,3,4,g018,noun,ltr
T0005,4,1,g096,part,rtl
T0005,4,2,g065,verb,rtl
T0005,4,3,g083,name,rtl
T0005,5,1,g001,det,ltr
T0005,5,2,g081,name,ltr
T0005,5,3,g052,verb,ltr
T0005,5,4,g052,verb,ltr
T0005,5,5,g023,noun,ltr
T0005,5,6,g076,num,ltr
T0005,6,1,g097,rare,rtl
T0005,6,2,g097,part,rtl
T0005,6,3,g016,noun,rtl
T0005,6,4,g069,verb,rtl
T0005,6,5,g016,noun,rtl
T0005,6,6,g016,noun,rtl
T0005,6,7,g001,det,rtl
T0005,7,1,g002,det,ltr
T0005,7,2,g019,noun,ltr
T0005,7,3,g019,noun,ltr
T0005,7,4,g019,noun,ltr
T0005,7,5,g016,verb,ltr
T0005,7,6,g096,noun,ltr
T0005,8,1,g102,part,rtl
T0005,8,2,g054,verb,rtl
T0005,8,3,g082,name,rtl
T0005,9,1,g007,det,ltr
T0005,9,2,g081,name,ltr
T0005,9,3,g052,verb,ltr
T0005,9,4,g016,noun,ltr
T0005,9,5,g078,num,ltr
T0005,9,6,g078,rare,ltr
T0005,10,1,g097,part,rtl
T0005,10,2,g051,verb,rtl
T0005,10,3,g082,name,rtl
T0005,11,1,g001,det,ltr
T0005,11,2,g022,noun,ltr
T0005,11,3,g052,verb,ltr
T0005,11,4,g016,noun,ltr
T0005,11,5,g096,part,ltr
T0005,11,6,g096,part,ltr
T0005,11,7,g096,part,ltr
T0005,12,1,g071,rare,rtl
T0005,12,2,g071,num,rtl
T0005,12,3,g098,part,rtl
T0005,12,4,g098,part,rtl
T0005,12,5,g016,noun,rtl
T0005,12,6,g069,verb,rtl
T0005,12,7,g069,verb,rtl
T0005,12,8,g020,noun,rtl
T0005,12,9,g001,det,rtl
T0006,1,1,g012,det,ltr
T0006,1,2,g012,det,ltr
T0006,1,3,g019,noun,ltr
T0006,1,4,g057,verb,ltr
T0006,1,5,g025,noun,ltr
T0006,1,6,g099,part,ltr
T0006,2,1,g097,part,rtl
T0006,2,2,g051,verb,rtl
T0006,2,3,g051,verb,rtl
T0006,2,4,g081,name,rtl
T0006,3,1,g085,name,ltr
T0006,3,2,g091,name,ltr
T0006,3,3,g098,part,ltr
T0006,3,4,g017,noun,ltr
T0006,3,5,g053,verb,ltr
T0006,3,6,g016,noun,ltr
T0006,3,7,g096,part,ltr
T0006,4,1,g097,noun,rtl
T0006,4,2,g016,noun,rtl
T0006,4,3,g016,noun,rtl
T0006,5,1,g081,name,ltr
T0006,5,2,g051,verb,ltr
T0006,5,3,g096,part,ltr
T0006,5,4,g096,rare,ltr
T0006,6,1,g097,verb,rtl
T0006,6,2,g016,noun,rtl
T0006,6,3,g016,noun,rtl
T0006,6,4,g016,noun,rtl
T0006,6,5,g004,det,rtl
T0006,7,1,g016,noun,ltr
T0006,7,2,g018,noun,ltr
T0006,7,3,g018,noun,ltr
T0006,7,4,g096,part,ltr
T0006,8,1,g079,num,rtl
T0006,8,2,g098,part,rtl
T0006,8,3,g048,noun,rtl
T0006,8,4,g055,verb,rtl
T0006,8,5,g028,noun,rtl
T0006,8,6,g002,det,rtl
T0006,9,1,g082,name,ltr
T0006,9,2,g051,verb,ltr
T0006,9,3,g096,part,ltr
T0007,1,1,g085,name,ltr
T0007,1,2,g051,verb,ltr
T0007,1,3,g051,verb,ltr
T0007,1,4,g017,noun,ltr
T0007,1,5,g077,num,ltr
T0007,1,6,g096,part,ltr
T0007,2,1,g104,rare,rtl
T0007,2,2,g107,num,rtl
T0007,2,3,g075,noun,rtl
T0007,2,4,g017,verb,rtl
T0007,2,5,g081,name,rtl
T0007,2,6,g081,name,rtl
T0007,2,7,g081,name,rtl
T0007,3,1,g006,det,ltr
T0007,3,2,g019,noun,ltr
T0007,3,3,g019,noun,ltr
T0007,3,4,g019,noun,ltr
T0007,3,5,g096,verb,ltr
T0007,4,1,g051,verb,rtl
T0007,4,2,g051,verb,rtl
T0007,4,3,g051,verb,rtl
T0007,4,4,g082,name,rtl
T0007,5,1,g003,det,ltr
T0007,5,2,g003,det,ltr
T0007,5,3,g016,noun,ltr
T0007,5,4,g055,verb,ltr
T0007,5,5,g096,part,ltr
T0007,6,1,g026,noun,rtl
T0007,6,2,g026,noun,rtl
T0007,6,3,g026,noun,rtl
T0007,6,4,g017,noun,rtl
T0007,6,5,g017,noun,rtl
T0007,7,1,g105,part,ltr
T0007,7,2,g017,noun,ltr
T0007,7,3,g055,verb,ltr
T0007,7,4,g055,verb,ltr
T0007,7,5,g027,noun,ltr
T0007,7,6,g027,rare,ltr
T0008,1,1,g002,det,ltr
T0008,1,2,g016,noun,ltr
T0008,1,3,g042,noun,ltr
T0008,1,4,g097,part,ltr
T0008,2,1,g098,part,rtl
T0008,2,2,g017,noun,rtl
T0008,2,3,g016,noun,rtl
T0008,3,1,g081,name,ltr
T0008,3,2,g084,name,ltr
T0008,3,3,g101,part,ltr
T0008,3,4,g101,part,ltr
T0008,3,5,g101,part,ltr
T0008,3,6,g056,noun,ltr
T0008,3,7,g017,verb,ltr
T0008,3,8,g099,noun,ltr
T0008,3,9,g099,noun,ltr
T0008,4,1,g053,verb,rtl
T0008,4,2,g018,noun,rtl
T0008,4,3,g001,det,rtl
T0008,5,1,g001,det,ltr
T0008,5,2,g083,name,ltr
T0008,5,3,g055,verb,ltr
T0008,5,4,g021,noun,ltr
T0008,5,5,g078,num,ltr
T0009,1,1,g002,det,ltr
T0009,1,2,g026,noun,ltr
T0009,1,3,g020,noun,ltr
T0009,1,4,g099,part,ltr
T0009,2,1,g098,part,rtl
T0009,2,2,g035,noun,rtl
T0009,2,3,g020,noun,rtl
T0009,2,4,g001,det,rtl
T0009,2,5,g001,det,rtl
T0009,3,1,g002,det,ltr
T0009,3,2,g024,noun,ltr
T0009,3,3,g018,noun,ltr
T0009,3,4,g096,part,ltr
T0009,4,1,g053,verb,rtl
T0009,4,2,g050,noun,rtl
T0009,4,3,g002,det,rtl
T0010,1,1,g075,num,ltr
T0010,1,2,g043,noun,ltr
T0010,1,3,g099,part,ltr
T0010,1,4,g016,noun,ltr
T0010,2,1,g096,noun,rtl
T0010,2,2,g016,num,rtl
T0010,2,3,g099,part,rtl
T0010,2,4,g099,part,rtl
T0010,2,5,g099,part,rtl
T0010,2,6,g017,noun,rtl
T0010,2,7,g017,noun,rtl
T0010,2,8,g052,verb,rtl
T0010,2,9,g017,noun,rtl
T0010,2,10,g008,det,rtl
T0010,3,1,g079,num,ltr
T0010,3,2,g016,noun,ltr
T0010,3,3,g016,noun,ltr
T0010,3,4,g102,part,ltr
T0010,3,5,g102,part,ltr
T0010,3,6,g106,rare,ltr
T0010,3,7,g016,noun,ltr
T0010,4,1,g077,rare,rtl
T0010,4,2,g077,num,rtl
T0010,4,3,g097,part,rtl
T0010,4,4,g052,verb,rtl
T0010,4,5,g019,noun,rtl
T0010,4,6,g096,part,rtl
T0010,4,7,g028,noun,rtl
T0010,4,8,g054,verb,rtl
T0010,4,9,g086,name,rtl
T0010,4,10,g001,det,rtl
T0010,5,1,g081,name,ltr
T0010,5,2,g081,name,ltr
T0010,5,3,g097,name,ltr
T0010,5,4,g020,part,ltr
T0010,6,1,g098,part,rtl
T0010,6,2,g059,verb,rtl
T0010,6,3,g092,name,rtl
T0011,1,1,g008,det,ltr
T0011,1,2,g081,name,ltr
T0011,1,3,g051,verb,ltr
T0011,1,4,g017,noun,ltr
T0011,1,5,g026,noun,ltr
T0011,1,6,g098,part,ltr
T0011,1,7,g098,part,ltr
T0011,1,8,g071,num,ltr
T0011,1,9,g071,rare,ltr
T0011,2,1,g104,part,rtl
T0011,2,2,g051,verb,rtl
T0011,2,3,g016,noun,rtl
T0011,2,4,g001,det,rtl
T0011,3,1,g001,det,ltr
T0011,3,2,g001,det,ltr
T0011,3,3,g026,noun,ltr
T0011,3,4,g018,noun,ltr
T0011,3,5,g098,part,ltr
T0011,4,1,g071,num,rtl
T0011,4,2,g033,noun,rtl
T0011,4,3,g055,verb,rtl
T0011,4,4,g081,name,rtl
T0011,4,5,g002,det,rtl
T0011,5,1,g071,num,ltr
T0011,5,2,g046,noun,ltr
T0011,5,3,g097,part,ltr
T0011,5,4,g019,noun,ltr
T0011,5,5,g019,rare,ltr
T0012,1,1,g003,det,ltr
T0012,1,2,g003,det,ltr
T0012,1,3,g018,noun,ltr
T0012,1,4,g051,verb,ltr
T0012,2,1,g096,part,rtl
T0012,2,2,g074,num,rtl
T0012,2,3,g106,rare,rtl
T0012,2,4,g106,rare,rtl
T0012,2,5,g028,noun,rtl
T0012,2,6,g055,verb,rtl
T0012,2,7,g081,name,rtl
T0012,3,1,g083,name,ltr
T0012,3,2,g051,verb,ltr
T0012,3,3,g101,part,ltr
T0012,4,1,g078,rare,rtl
T0012,4,2,g078,num,rtl
T0012,4,3,g097,part,rtl
T0012,4,4,g028,noun,rtl
T0012,4,5,g016,noun,rtl
T0012,4,6,g062,verb,rtl
T0012,4,7,g090,name,rtl
T0012,4,8,g003,det,rtl
T0012,5,1,g096,part,ltr
T0012,5,2,g096,part,ltr
T0012,5,3,g019,noun,ltr
T0012,5,4,g053,verb,ltr
T0012,5,5,g018,noun,ltr
T0012,6,1,g099,part,rtl
T0012,6,2,g025,noun,rtl
T0012,6,3,g016,noun,rtl
T0012,7,1,g003,det,ltr
T0012,7,2,g016,noun,ltr
T0012,7,3,g053,verb,ltr
T0012,7,4,g020,noun,ltr
T0012,7,5,g020,noun,ltr
T0012,7,6,g102,part,ltr
T0012,7,7,g077,num,ltr
T0012,7,8,g018,noun,ltr
T0012,7,9,g097,part,ltr
T0012,8,1,g061,verb,rtl
T0012,8,2,g032,noun,rtl
T0012,8,3,g009,det,rtl
T0013,1,1,g001,det,ltr
T0013,1,2,g001,det,ltr
T0013,1,3,g021,noun,ltr
T0013,1,4,g065,verb,ltr
T0013,1,5,g050,noun,ltr
T0013,1,6,g100,part,ltr
T0013,2,1,g073,rare,rtl
T0013,2,2,g073,num,rtl
T0013,2,3,g097,part,rtl
T0013,2,4,g016,noun,rtl
T0013,2,5,g017,noun,rtl
T0013,2,6,g051,verb,rtl
T0013,2,7,g087,name,rtl
T0013,2,8,g087,name,rtl
T0013,2,9,g001,det,rtl
T0013,2,10,g001,det,rtl
T0013,3,1,g081,name,ltr
T0013,3,2,g081,name,ltr
T0013,3,3,g051,verb,ltr
T0013,3,4,g016,noun,ltr
T0013,3,5,g076,num,ltr
T0013,3,6,g103,part,ltr
T0013,4,1,g097,part,rtl
T0013,4,2,g051,verb,rtl
T0013,4,3,g032,noun,rtl
T0013,4,4,g001,det,rtl
T0013,5,1,g014,det,ltr
T0013,5,2,g022,noun,ltr
T0013,5,3,g022,noun,ltr
T0013,5,4,g022,noun,ltr
T0013,5,5,g098,noun,ltr
T0013,6,1,g096,part,rtl
T0013,6,2,g073,num,rtl
T0013,6,3,g028,noun,rtl
T0013,6,4,g051,verb,rtl
T0013,6,5,g091,name,rtl
T0013,7,1,g011,det,ltr
T0013,7,2,g022,noun,ltr
T0013,7,3,g051,verb,ltr
T0013,7,4,g051,rare,ltr
T0013,8,1,g097,noun,rtl
T0013,8,2,g016,noun,rtl
T0013,8,3,g016,noun,rtl
T0013,8,4,g006,det,rtl
T0013,9,1,g018,noun,ltr
T0013,9,2,g018,noun,ltr
T0013,9,3,g029,noun,ltr
T0013,9,4,g100,part,ltr
T0013,9,5,g100,rare,ltr
T0013,10,1,g100,rare,rtl
T0013,10,2,g100,part,rtl
T0013,10,3,g017,noun,rtl
T0013,10,4,g059,verb,rtl
T0013,10,5,g059,verb,rtl
T0013,10,6,g045,noun,rtl
T0013,10,7,g105,part,rtl
T0013,10,8,g086,name,rtl
T0013,10,9,g107,rare,rtl
T0013,10,10,g089,name,rtl
T0013,11,1,g003,det,ltr
T0013,11,2,g038,noun,ltr
T0013,11,3,g038,noun,ltr
T0013,11,4,g051,verb,ltr
T0013,11,5,g016,noun,ltr
T0013,11,6,g101,part,ltr
T0013,11,7,g078,num,ltr
T0013,11,8,g078,rare,ltr
T0014,1,1,g002,det,ltr
T0014,1,2,g002,det,ltr
T0014,1,3,g085,name,ltr
T0014,1,4,g057,verb,ltr
T0014,1,5,g057,verb,ltr
T0014,1,6,g042,noun,ltr
T0014,1,7,g072,num,ltr
T0014,2,1,g099,part,rtl
T0014,2,2,g016,noun,rtl
T0014,2,3,g061,verb,rtl
T0014,2,4,g061,verb,rtl
T0014,2,5,g043,noun,rtl
T0014,2,6,g043,noun,rtl
T0014,2,7,g097,part,rtl
T0014,2,8,g082,name,rtl
T0014,2,9,g081,name,rtl
T0014,3,1,g004,det,ltr
T0014,3,2,g020,noun,ltr
T0014,3,3,g020,noun,ltr
T0014,3,4,g051,verb,ltr
T0014,4,1,g096,noun,rtl
T0014,4,2,g096,noun,rtl
T0014,4,3,g034,verb,rtl
T0014,4,4,g016,noun,rtl
T0014,4,5,g016,noun,rtl
T0014,4,6,g016,noun,rtl
T0014,4,7,g006,det,rtl
T0014,5,1,g001,det,ltr
T0014,5,2,g081,name,ltr
T0014,5,3,g055,verb,ltr
T0014,5,4,g055,verb,ltr
T0014,5,5,g016,noun,ltr
T0014,5,6,g016,noun,ltr
T0014,5,7,g071,num,ltr
T0014,6,1,g058,verb,rtl
T0014,6,2,g058,verb,rtl
T0014,6,3,g058,verb,rtl
T0014,6,4,g018,noun,rtl
T0014,6,5,g100,part,rtl
T0014,7,1,g033,noun,ltr
T0014,7,2,g033,noun,ltr
T0014,7,3,g019,noun,ltr
T0014,7,4,g097,part,ltr
T0014,8,1,g096,part,rtl
T0014,8,2,g064,verb,rtl
T0014,8,3,g106,rare,rtl
T0014,8,4,g082,name,rtl
T0014,9,1,g003,det,ltr
T0014,9,2,g082,name,ltr
T0014,9,3,g054,verb,ltr
T0014,9,4,g016,noun,ltr
T0014,9,5,g099,part,ltr
T0014,9,6,g032,noun,ltr
T0014,9,7,g032,noun,ltr
T0014,9,8,g055,verb,ltr
T0014,9,9,g100,part,ltr
T0014,9,10,g074,num,ltr
T0014,10,1,g071,num,rtl
T0014,10,2,g016,noun,rtl
T0014,10,3,g060,verb,rtl
T0014,10,4,g081,name,rtl
T0014,10,5,g012,det,rtl
T0014,11,1,g002,det,ltr
T0014,11,2,g085,name,ltr
T0014,11,3,g057,verb,ltr
T0014,11,4,g033,noun,ltr
T0014,11,5,g074,num,ltr
T0015,1,1,g002,det,ltr
T0015,1,2,g020,noun,ltr
T0015,1,3,g051,verb,ltr
T0015,1,4,g016,noun,ltr
T0015,1,5,g096,part,ltr
T0015,1,6,g072,num,ltr
T0015,2,1,g100,rare,rtl
T0015,2,2,g100,part,rtl
T0015,2,3,g051,verb,rtl
T0015,2,4,g051,verb,rtl
T0015,2,5,g081,name,rtl
T0015,3,1,g001,det,ltr
T0015,3,2,g107,rare,ltr
T0015,3,3,g107,rare,ltr
T0015,3,4,g025,noun,ltr
T0015,3,5,g068,verb,ltr
T0015,4,1,g097,part,rtl
T0015,4,2,g016,noun,rtl
T0015,4,3,g016,noun,rtl
T0015,4,4,g051,verb,rtl
T0015,4,5,g026,noun,rtl
T0015,4,6,g096,part,rtl
T0015,4,7,g090,name,rtl
T0015,4,8,g084,name,rtl
T0015,5,1,g003,det,ltr
T0015,5,2,g003,det,ltr
T0015,5,3,g017,noun,ltr
T0015,5,4,g051,verb,ltr
T0015,6,1,g096,part,rtl
T0015,6,2,g017,noun,rtl
T0015,6,3,g017,noun,rtl
T0015,6,4,g026,noun,rtl
T0016,1,1,g107,rare,ltr
T0016,1,2,g107,rare,ltr
T0016,1,3,g101,part,ltr
T0016,1,4,g029,noun,ltr
T0016,1,5,g051,verb,ltr
T0016,1,6,g033,noun,ltr
T0016,2,1,g104,rare,rtl
T0016,2,2,g104,part,rtl
T0016,2,3,g016,noun,rtl
T0016,2,4,g045,noun,rtl
T0016,2,5,g002,det,rtl
T0016,3,1,g002,det,ltr
T0016,3,2,g016,noun,ltr
T0016,3,3,g016,noun,ltr
T0016,3,4,g062,verb,ltr
T0016,3,5,g100,part,ltr
T0016,4,1,g022,rare,rtl
T0016,4,2,g022,noun,rtl
T0016,4,3,g104,part,rtl
T0016,4,4,g104,part,rtl
T0016,4,5,g082,name,rtl
T0016,4,6,g087,name,rtl
T0016,4,7,g087,name,rtl
T0016,5,1,g016,noun,ltr
T0016,5,2,g043,noun,ltr
T0016,5,3,g098,part,ltr
T0016,6,1,g072,num,rtl
T0016,6,2,g096,part,rtl
T0016,6,3,g096,part,rtl
T0016,6,4,g046,noun,rtl
T0016,6,5,g052,verb,rtl
T0016,6,6,g048,noun,rtl
T0016,6,7,g004,det,rtl
T0017,1,1,g008,det,ltr
T0017,1,2,g016,noun,ltr
T0017,1,3,g062,verb,ltr
T0017,1,4,g032,noun,ltr
T0017,1,5,g098,part,ltr
T0017,2,1,g097,part,rtl
T0017,2,2,g017,noun,rtl
T0017,2,3,g017,noun,rtl
T0017,2,4,g022,noun,rtl
T0017,2,5,g022,noun,rtl
T0017,3,1,g074,num,ltr
T0017,3,2,g019,noun,ltr
T0017,3,3,g096,part,ltr
T0017,3,4,g096,part,ltr
T0017,3,5,g016,noun,ltr
T0018,1,1,g007,det,ltr
T0018,1,2,g023,noun,ltr
T0018,1,3,g051,verb,ltr
T0018,1,4,g098,part,ltr
T0018,2,1,g078,num,rtl
T0018,2,2,g099,part,rtl
T0018,2,3,g099,part,rtl
T0018,2,4,g016,noun,rtl
T0018,2,5,g051,verb,rtl
T0018,2,6,g051,verb,rtl
T0018,2,7,g021,noun,rtl
T0018,2,8,g013,det,rtl
T0018,3,1,g001,det,ltr
T0018,3,2,g016,noun,ltr
T0018,3,3,g056,verb,ltr
T0018,3,4,g056,rare,ltr
T0018,4,1,g096,rare,rtl
T0018,4,2,g096,part,rtl
T0018,4,3,g051,verb,rtl
T0018,4,4,g083,name,rtl
T0018,5,1,g001,det,ltr
T0018,5,2,g081,name,ltr
T0018,5,3,g081,name,ltr
T0018,5,4,g059,verb,ltr
T0018,5,5,g059,verb,ltr
T0018,5,6,g019,noun,ltr
T0018,5,7,g097,part,ltr
T0018,5,8,g025,noun,ltr
T0018,5,9,g053,verb,ltr
T0018,5,10,g099,part,ltr
T0018,5,11,g099,part,ltr
T0018,5,12,g099,part,ltr
T0018,6,1,g100,part,rtl
T0018,6,2,g054,verb,rtl
T0018,6,3,g045,noun,rtl
T0018,6,4,g005,det,rtl
T0018,7,1,g001,det,ltr
T0018,7,2,g001,det,ltr
T0018,7,3,g085,name,ltr
T0018,7,4,g085,name,ltr
T0018,7,5,g054,verb,ltr
T0018,7,6,g018,noun,ltr
T0018,7,7,g027,noun,ltr
T0018,7,8,g027,noun,ltr
T0018,7,9,g100,part,ltr
T0018,7,10,g072,num,ltr
T0019,1,1,g083,name,ltr
T0019,1,2,g051,verb,ltr
T0019,1,3,g096,part,ltr
T0019,2,1,g072,num,rtl
T0019,2,2,g040,noun,rtl
T0019,2,3,g063,verb,rtl
T0019,2,4,g063,verb,rtl
T0019,2,5,g088,name,rtl
T0019,2,6,g011,det,rtl
T0019,3,1,g005,det,ltr
T0019,3,2,g081,name,ltr
T0019,3,3,g051,verb,ltr
T0019,3,4,g016,noun,ltr
T0019,3,5,g078,num,ltr
T0019,4,1,g097,part,rtl
T0019,4,2,g021,noun,rtl
T0019,4,3,g066,verb,rtl
T0019,4,4,g016,noun,rtl
T0019,4,5,g016,noun,rtl
T0019,4,6,g001,det,rtl
T0020,1,1,g011,det,ltr
T0020,1,2,g084,name,ltr
T0020,1,3,g051,verb,ltr
T0020,1,4,g019,noun,ltr
T0020,1,5,g071,num,ltr
T0020,2,1,g080,num,rtl
T0020,2,2,g019,noun,rtl
T0020,2,3,g053,verb,rtl
T0020,2,4,g081,name,rtl
T0020,2,5,g014,det,rtl
T0020,3,1,g007,det,ltr
T0020,3,2,g017,noun,ltr
T0020,3,3,g017,noun,ltr
T0020,3,4,g017,noun,ltr
T0020,3,5,g021,verb,ltr
T0020,3,6,g100,noun,ltr
T0020,4,1,g021,noun,rtl
T0020,4,2,g099,part,rtl
T0020,4,3,g082,name,rtl
T0020,4,4,g087,name,rtl
T0020,4,5,g087,name,rtl
T0021,1,1,g035,noun,ltr
T0021,1,2,g017,noun,ltr
T0021,1,3,g096,part,ltr
T0021,1,4,g096,rare,ltr
T0021,2,1,g051,verb,rtl
T0021,2,2,g033,noun,rtl
T0021,2,3,g001,det,rtl
T0021,3,1,g002,det,ltr
T0021,3,2,g043,noun,ltr
T0021,3,3,g052,verb,ltr
T0021,3,4,g096,part,ltr
T0021,3,5,g096,rare,ltr
T0022,1,1,g004,det,ltr
T0022,1,2,g030,noun,ltr
T0022,1,3,g053,verb,ltr
T0022,1,4,g017,noun,ltr
T0022,1,5,g096,part,ltr
T0022,2,1,g105,part,rtl
T0022,2,2,g016,noun,rtl
T0022,2,3,g070,verb,rtl
T0022,2,4,g017,noun,rtl
T0022,2,5,g009,det,rtl
T0022,2,6,g009,det,rtl
T0022,3,1,g081,name,ltr
T0022,3,2,g084,name,ltr
T0022,3,3,g100,part,ltr
T0022,3,4,g016,noun,ltr
T0022,3,5,g051,verb,ltr
T0022,3,6,g027,noun,ltr
T0022,3,7,g096,part,ltr
T0022,4,1,g016,noun,rtl
T0022,4,2,g051,verb,rtl
T0022,4,3,g022,noun,rtl
T0022,4,4,g097,part,rtl
T0022,5,1,g002,det,ltr
T0022,5,2,g002,det,ltr
T0022,5,3,g050,noun,ltr
T0022,5,4,g017,noun,ltr
T0022,5,5,g103,part,ltr
T0022,6,1,g096,part,rtl
T0022,6,2,g106,rare,rtl
T0022,6,3,g106,rare,rtl
T0022,6,4,g071,num,rtl
T0022,6,5,g032,noun,rtl
T0022,6,6,g056,verb,rtl
T0022,6,7,g056,verb,rtl
T0022,6,8,g081,name,rtl
T0022,7,1,g095,name,ltr
T0022,7,2,g087,name,ltr
T0022,7,3,g096,part,ltr
T0022,7,4,g019,noun,ltr
T0022,7,5,g019,rare,ltr
T0022,8,1,g072,rare,rtl
T0022,8,2,g072,num,rtl
T0022,8,3,g097,part,rtl
T0022,8,4,g018,noun,rtl
T0022,8,5,g056,verb,rtl
T0022,8,6,g056,verb,rtl
T0022,8,7,g017,noun,rtl
T0022,8,8,g001,det,rtl
T0022,8,9,g001,det,rtl
T0022,9,1,g019,noun,ltr
T0022,9,2,g020,noun,ltr
T0022,9,3,g100,part,ltr
T0023,1,1,g001,det,ltr
T0023,1,2,g081,name,ltr
T0023,1,3,g056,verb,ltr
T0023,1,4,g017,noun,ltr
T0023,1,5,g079,num,ltr
T0023,1,6,g079,rare,ltr
T0023,2,1,g104,part,rtl
T0023,2,2,g016,noun,rtl
T0023,2,3,g019,noun,rtl
T0023,2,4,g003,det,rtl
T0023,3,1,g008,det,ltr
T0023,3,2,g016,noun,ltr
T0023,3,3,g051,verb,ltr
T0023,4,1,g096,part,rtl
T0023,4,2,g055,verb,rtl
T0023,4,3,g019,noun,rtl
T0023,4,4,g004,det,rtl
T0023,5,1,g001,det,ltr
T0023,5,2,g018,noun,ltr
T0023,5,3,g053,verb,ltr
T0023,5,4,g016,noun,ltr
T0023,5,5,g098,part,ltr
