source_text,target_glyphs,source_len,target_len,categories,pair_id
tangata tau tangata noho ika te rakau,g016 g002 g016 g052 g016 g016 g001 g001 g024,7,9,noun det noun verb noun det noun,19
tangata he i ka he tangata Hotu inu,g043 g005 g100 g001 g001 g019 g091 g053,8,8,noun det part det det noun name verb,20
ki kai te pe Makemake tangata muri,g098 g059 g005 g097 g085 g044 g016,7,7,part verb det part name noun noun,21
rakau vahine Matua haere,g018 g017 g081 g051,4,4,noun noun name verb,22
he ono tangata Hotu ora haere,g003 g072 g018 g082 g082 g056 g051 g051,6,8,det num noun name verb verb,23
i haere nga tahi tangata haere Hotu tomo atu Ngaara tangata,g096 g051 g002 g071 g044 g044 g051 g088 g051 g096 g082 g019,11,12,part verb det num noun verb name verb part name noun,24
tangata tangata atu i tangata haere haere rua mai,g016 g016 g099 g099 g017 g055 g064 g075 g075 g098,9,10,noun noun part part noun verb verb num part,25
haere Tuu ki manu rima vai manu,g051 g081 g098 g031 g019 g016 g024,7,7,verb name part noun noun noun noun,26
marama Hotu i tangata tangata marama o a tangata hare noho tangata,g018 g083 g097 g017 g017 g016 g016 g001 g001 g001 g032 g018 g051 g020,12,14,noun name part noun noun noun det det noun noun verb noun,27
tuku tamaiti Rongo pe tangata kite vahine,g065 g018 g018 g087 g096 g016 g053 g050,7,8,verb noun name part noun verb noun,28
ei ki hua matangi atu tangata ruga tangata,g104 g096 g016 g016 g029 g096 g036 g016 g016 g016,8,10,part part noun noun part noun noun noun,29
i atu ihu ivi rima Matua i tau,g101 g101 g097 g022 g035 g071 g086 g086 g096 g002,8,10,part part noun noun num name part det,30
ava noho tangata kai tangata tomo,g048 g051 g043 g043 g055 g018 g051,6,7,noun verb noun verb noun verb,31
ko Ngaara motu e mo Hotu na,g001 g001 g081 g016 g016 g006 g100 g100 g084 g096 g096,7,11,det name noun det part name part,32
tangata tangata taringa Papa nei tangata hana,g027 g018 g016 g086 g086 g096 g021 g055 g055,7,9,noun noun noun name part noun verb,33
makemake kai tuku Hotu i a mata te,g052 g051 g066 g081 g097 g001 g033 g001,8,8,verb verb verb name part det noun det,34
Koihu haere ki tangata,g081 g069 g069 g096 g035,4,5,name verb part noun,35
he ika korero i na matangi mai Hotu rau Tupa,g003 g003 g026 g051 g051 g101 g101 g001 g017 g100 g083 g016 g081,10,13,det noun verb part det noun part name noun name,36
tangata haere tau mai Ngaara vahine tau tahi tamaiti ki matangi,g016 g054 g009 g097 g089 g017 g009 g009 g072 g072 g028 g096 g023,11,13,noun verb det part name noun det num noun part noun,37
noho moe tangi hare nga,g067 g054 g052 g052 g019 g001,5,6,verb verb verb noun det,38
haere Hina Makemake i Hotu ora haere,g051 g051 g081 g089 g097 g082 g051 g054,7,8,verb name name part name verb verb,39
noho i nga Tuu he te tangata rau haere tangata tua tangi,g057 g096 g001 g082 g082 g002 g001 g018 g016 g053 g021 g017 g052,12,13,verb part det name det det noun noun verb noun noun verb,40
tangata moe tamaiti tangata na vahine muri tau i tahi tangata Hotu,g016 g057 g016 g041 g003 g018 g019 g003 g098 g077 g077 g020 g095 g095,12,14,noun verb noun noun det noun noun det part num noun name,41
Tangaroa e ki na moe haere tamaiti haere,g081 g001 g102 g096 g056 g053 g016 g051,8,8,name det part part verb verb noun verb,42
nga tuku tangata rakau moe tangata ma i mai moe te te,g005 g066 g050 g036 g051 g021 g018 g096 g096 g066 g001 g006,12,12,det verb noun noun verb noun noun part part verb det det,43
raa he Tuu Hotu Makemake he motu vahine tomo rau tamaiti tangata,g017 g002 g093 g087 g087 g001 g001 g016 g020 g061 g019 g016 g029 g029,12,14,noun det name name name det noun noun verb noun noun noun,44
tangata tangata vahine,g016 g016 g022 g022 g017,3,5,noun noun noun,45
kai te tahi tangata te he matangi Matua haere hongahuru,g054 g054 g001 g072 g072 g016 g001 g002 g020 g081 g052 g073,10,12,verb det num noun det det noun name verb num,46
vahine te Tuu moana tahi kite Matua ha,g020 g020 g007 g081 g025 g072 g051 g081 g071,8,9,noun det name noun num verb name num,47
ra te haere ma Hotu ua tangata tangata,g097 g002 g070 g016 g081 g016 g017 g016,8,8,part det verb noun name noun noun noun,48
tangata mai na te haere marama Hotu noho mai,g020 g098 g098 g104 g002 g057 g019 g082 g052 g098,9,10,noun part part det verb noun name verb part,49
vahine i ika e pe vai ei manu a kai Hotu tangata,g016 g100 g016 g003 g003 g096 g027 g097 g020 g001 g051 g095 g023,12,13,noun part noun det part noun part noun det verb name noun,50
Matua te haere ana Hotu,g092 g002 g051 g096 g081 g081,5,6,name det verb part name,51
noho tae te ai i,g066 g057 g057 g001 g051 g097,5,6,verb verb det verb part,52
tamaiti Hotu inu tangata nga nga ana,g045 g081 g081 g052 g019 g001 g002 g016,7,8,noun name verb noun det det noun,53
Tupa ki iva he te,g082 g097 g071 g003 g001,5,5,name part num det det,54
Ngaara marama ki,g082 g019 g019 g096,3,4,name noun part,55
tamaiti ki haere te i tamaiti Matua manu ki Hotu tau,g016 g105 g056 g001 g096 g028 g083 g083 g022 g096 g087 g001,11,12,noun part verb det part noun name noun part name det,56
vahine he vahine haere rua Tuu tamaiti Tane vai ora rua tau,g050 g002 g017 g066 g072 g083 g019 g084 g031 g055 g075 g001,12,12,noun det noun verb num name noun name noun verb num det,57
tangata haere puke i ihu rakau Ngaara,g016 g059 g059 g051 g097 g016 g016 g016 g085,7,9,noun verb verb part noun noun name,58
teia Hotu tau tiki i ika mai ma matau ko,g001 g089 g089 g001 g064 g064 g105 g017 g097 g103 g043 g011,10,12,det name det verb part noun part part noun det,59
tangata o e a tamaiti tangata nga tahi Hotu haere Hotu,g016 g001 g005 g013 g016 g023 g001 g001 g073 g084 g051 g081,11,12,noun det det det noun noun det num name verb name,60
taringa raa na moana ono,g021 g019 g100 g100 g018 g072,5,6,noun noun part noun num,61
inu te tamaiti korero he tamaiti,g052 g001 g018 g058 g058 g005 g017 g017,6,8,verb det noun verb det noun,62
i he mo,g099 g014 g098,3,3,part det part,63
vai haere haere haere haere rakau he kai hula,g016 g051 g051 g051 g065 g065 g056 g056 g016 g007 g052 g052 g057,9,13,noun verb verb verb verb noun det verb verb,64
ika kite Makemake Hotu e na tamaiti ki haere,g019 g053 g085 g081 g004 g097 g016 g096 g054,9,9,noun verb name name det part noun part verb,65
Hotu i haere atu tuku,g088 g096 g056 g096 g051,5,5,name part verb part verb,66
ma ma ki tangata i tangata he ha tahi Hotu a,g018 g026 g099 g024 g096 g016 g001 g071 g076 g085 g096,11,11,noun noun part noun part noun det num num name part,67
atu haere tangata o Papa nga ono vahine pe haere,g099 g051 g051 g018 g002 g083 g004 g004 g073 g018 g097 g051,10,12,part verb noun det name det num noun part verb,68
i noho matangi haere,g104 g052 g016 g016 g055,4,5,part verb noun verb,69
te tangata haere,g002 g017 g057 g057,3,4,det noun verb,70
i maunga i haere haere moana no tae tangata inu inu,g101 g021 g021 g097 g052 g056 g026 g098 g051 g024 g051 g051,11,12,part noun part verb verb noun part verb noun verb verb,71
atu raa haere haere te haere Hotu tahi te te rua,g097 g017 g051 g052 g001 g054 g081 g081 g071 g001 g002 g002 g071,11,13,part noun verb verb det verb name num det det num,72
tangata Matua maunga ki va vahine noho moana tau,g019 g081 g020 g099 g072 g016 g052 g017 g005,9,9,noun name noun part num noun verb noun det,73
nga Hotu te tahi i vahine Matua Matua tau Tuu Tuu,g011 g089 g002 g071 g104 g022 g087 g083 g011 g081 g081 g081 g081,11,13,det name det num part noun name name det name name,74
kite inu kai noho tangata tangata,g052 g067 g051 g065 g016 g016,6,6,verb verb verb verb noun noun,75
na he toru te vahine he Makemake atu,g001 g004 g071 g005 g033 g002 g082 g096,8,8,det det num det noun det name part,76
manu ika i ala inu hula,g022 g016 g098 g051 g051 g051 g051,6,7,noun noun part verb verb verb,77
maunga manu hana ra ki te te ika tau,g017 g018 g055 g097 g096 g003 g006 g016 g001,9,9,noun noun verb part part det det noun det,78
Tupa vahine Hotu a rua tau mo te Makemake Tuu vahine,g085 g020 g081 g001 g071 g051 g096 g096 g001 g081 g083 g017,11,12,name noun name det num verb part det name name noun,79
va he te manu manu,g071 g001 g006 g025 g017,5,5,num det det noun noun,80
te Makemake tahi toru ika kai vahine nga haere tangata matangi tamaiti,g001 g088 g072 g071 g042 g051 g022 g001 g054 g016 g038 g016 g016,12,13,det name num num noun verb noun det verb noun noun noun,81
te haere korero tangata te tangata te no hana manu,g004 g051 g053 g020 g020 g001 g001 g017 g001 g099 g064 g020,10,12,det verb verb noun det noun det part verb noun,82
maui haere va vaka,g016 g054 g071 g017,4,4,noun verb num noun,83
tau vahine ora tangi ra mo i te i,g001 g016 g058 g053 g098 g097 g097 g005 g096,9,9,det noun verb verb part part part det part,84
tangata ihu i manu,g016 g016 g021 g021 g098 g098 g016,4,7,noun noun part noun,85
kite Hotu hitu te te Ngaara ika i,g052 g081 g072 g003 g003 g001 g081 g016 g097,8,9,verb name num det det name noun part,86
tau i te Hina tahi,g007 g097 g001 g001 g084 g071,5,6,det part det name num,87
Ngaara tangata te raro ivi marama Ngaara,g083 g026 g026 g001 g038 g016 g018 g084,7,8,name noun det noun noun noun name,88
haere ihu ava he ma rua,g068 g016 g016 g001 g100 g071,6,6,verb noun noun det part num,89
tahi rua vahine tamaiti teia tangata Hotu haere te,g071 g073 g028 g022 g001 g029 g029 g081 g051 g001,9,10,num num noun noun det noun name verb det,90
te te Matua nga ka Hotu,g003 g011 g011 g081 g015 g001 g001 g084,6,8,det det name det det name,91
he haere Koihu,g001 g051 g081 g081,3,4,det verb name,92
kai haere vahine ma tamaiti na vahine ika haere Hotu tangata mai,g051 g058 g016 g100 g018 g001 g019 g016 g051 g081 g016 g097,12,12,verb verb noun part noun det noun noun verb name noun part,93
a he tahi ki haere haere te mai,g096 g096 g011 g071 g096 g056 g064 g008 g096,8,9,part det num part verb verb det part,94
ora ika rima mai tahi rakau hula vahine vai,g051 g016 g016 g099 g072 g072 g030 g057 g019 g019 g016,9,11,verb noun noun part num noun verb noun noun,95
te i te tahi haere ki vai raro,g009 g097 g002 g002 g072 g051 g097 g031 g021 g021,8,10,det part det num verb part noun noun,96
i tena e ma ki,g098 g003 g002 g096 g096,5,5,part det det part part,97
tangata a manu kai tangata te tau,g046 g002 g016 g057 g018 g010 g010 g001,7,8,noun det noun verb noun det det,98
ika raro tau Tuu ala a vahine,g018 g031 g002 g089 g052 g001 g035 g035,7,8,noun noun det name verb det noun,99
a i o Hina te vahine ki vahine i noho,g009 g100 g098 g098 g082 g002 g017 g096 g019 g099 g065,10,11,det part part name det noun part noun part verb,100
nga vahine noho,g009 g022 g051,3,3,det noun verb,101
Maui vahine moana tangata noho tau i te,g087 g023 g023 g024 g031 g059 g059 g002 g096 g001,8,10,name noun noun noun verb det part det,102
he ko ma te tamaiti vahine,g013 g002 g002 g019 g019 g001 g001 g029 g016,6,9,det det noun det noun noun,103
na tangi haere taringa rakau tau,g096 g051 g058 g016 g044 g004,6,6,part verb verb noun noun det,104
manu o haere mate Tiki tangata haere tangi ava a a mai,g021 g004 g056 g054 g095 g016 g052 g052 g016 g005 g003 g096 g096,12,13,noun det verb verb name noun verb verb noun det det part,105
hongahuru ha haere i a,g072 g072 g077 g077 g052 g098 g097,5,7,num num verb part part,106
mai tiki ki vahine vai na ki tau tangata manu,g096 g051 g099 g016 g016 g024 g002 g099 g099 g001 g020 g020,10,12,part verb part noun noun det part det noun noun,107
noho tangata noho,g053 g016 g059,3,3,verb noun verb,108
rere tangata haere he i vai Tangaroa te atu Tangaroa tau ika,g051 g016 g016 g059 g001 g096 g017 g081 g001 g099 g081 g004 g016,12,13,verb noun verb det part noun name det part name det noun,109
nga mata ala rakau tahi tangata he vai tangata i tangata tena,g001 g018 g051 g016 g071 g016 g007 g016 g016 g023 g096 g024 g001,12,13,det noun verb noun num noun det noun noun part noun det,110
Ngaara rere maunga tangata ei he tau,g082 g054 g025 g020 g101 g009 g009 g005,7,8,name verb noun noun part det det,111
toru inu Maui,g073 g051 g051 g082,3,4,num verb name,112
manu haere hoki he Matua ki,g016 g056 g051 g001 g001 g081 g097,6,7,noun verb verb det name part,113
atu tangata he ika,g096 g016 g003 g020,4,4,part noun det noun,114
vai te marama tangata noho hula ruga haere,g018 g005 g016 g016 g051 g056 g023 g051 g051,8,9,noun det noun noun verb verb noun verb,115
te mate kai he mai ihu kite tiki ma,g001 g058 g051 g004 g098 g017 g061 g061 g052 g098,9,10,det verb verb det part noun verb verb part,116
uta ha ra rua ma haere tangata noho tamaiti ika moe,g017 g074 g101 g071 g101 g058 g018 g051 g016 g016 g021 g051 g051,11,13,noun num part num part verb noun verb noun noun verb,117
na tahi kai tangata Hotu Tuu matangi hana no taringa ma,g098 g074 g053 g020 g086 g086 g093 g016 g051 g098 g016 g096,11,12,part num verb noun name name noun verb part noun part,118
ora Matua puke Matua matangi Hotu kai he,g051 g089 g055 g081 g081 g016 g092 g054 g002,8,9,verb name verb name noun name verb det,119
mai haere taringa no ki ua,g097 g051 g034 g096 g096 g097 g097 g041,6,8,part verb noun part part noun,120
mo rakau ka tangi tahi ki,g096 g016 g001 g058 g072 g097 g097,6,7,part noun det verb num part,121
inu ora haere Hina,g051 g057 g051 g081,4,4,verb verb verb name,122
o rakau toruteke Hotu Rongo tangata haere ika ki mai,g001 g016 g016 g074 g085 g081 g081 g035 g060 g016 g096 g098 g098,10,13,det noun num name name noun verb noun part part,123
vahine nga haere i,g016 g001 g052 g096,4,4,noun det verb part,124
atu te tamaiti Matua ono kai tangata rakau,g096 g001 g028 g090 g071 g056 g020 g023 g023,8,9,part det noun name num verb noun noun,125
mate i tamaiti Matua vahine tamaiti Koihu,g060 g100 g020 g081 g018 g017 g081,7,7,verb part noun name noun noun name,126
rakau tangata raro moe haere Ngaara ika mai ki te,g019 g034 g034 g016 g051 g068 g081 g017 g100 g096 g006,10,11,noun noun noun verb verb name noun part part det,127
ora tamaiti ika tau,g052 g052 g016 g016 g003 g003,4,6,verb noun noun det,128
tangata nga atu haere haere,g017 g015 g101 g051 g059,5,5,noun det part verb verb,129
te kai o ora a manu te,g010 g054 g102 g102 g053 g005 g016 g004,7,8,det verb part verb det noun det,130
kai marama i,g058 g035 g101,3,3,verb noun part,131
mo te kai kai vahine te,g100 g002 g051 g052 g019 g001,6,6,part det verb verb noun det,132
Ngaara vahine ma haere tangata vahine vahine toru ha ma haere,g093 g016 g016 g051 g038 g017 g016 g071 g071 g096 g052,11,11,name noun noun verb noun noun noun num num part verb,133
matangi te noho inu tamaiti na te tangata te a ei,g017 g013 g051 g054 g016 g011 g003 g016 g002 g001 g096,11,11,noun det verb verb noun det det noun det det part,134
ai rakau tangata haere ka he te ala,g096 g016 g021 g059 g001 g011 g002 g052,8,8,part noun noun verb det det det verb,135
rakau rakau manu tangi he te ki,g020 g018 g047 g062 g009 g009 g002 g105,7,8,noun noun noun verb det det part,136
te vahine pe Hotu tangata te puke vahine te noho vahine,g005 g017 g096 g082 g019 g014 g014 g055 g027 g027 g005 g058 g019,11,13,det noun part name noun det verb noun det verb noun,137
Matua manu noho noho vahine kai ko Hotu,g081 g016 g061 g067 g016 g053 g004 g081,8,8,name noun verb verb noun verb det name,138
ki tiki i vahine haere,g098 g055 g098 g017 g062,5,5,part verb part noun verb,139
nga te tahi haere i,g009 g009 g003 g071 g052 g099,5,6,det det num verb part,140
vahine tekau hare he hana ka he,g016 g079 g018 g003 g052 g005 g009 g009,7,8,noun num noun det verb det det,141
tamaiti tangata ihu ka Matua Hotu vahine,g016 g016 g016 g002 g082 g083 g017,7,7,noun noun noun det name name noun,142
Tuu haere tangata tahi Tuu tangata i te vai mate haere tangata,g082 g082 g051 g016 g075 g095 g018 g100 g100 g001 g029 g066 g051 g025,12,14,name verb noun num name noun part det noun verb verb noun,143
nga tahi he,g013 g078 g001,3,3,det num det,144
ana haere te atu,g017 g051 g051 g001 g001 g096,4,6,noun verb det part,145
noho te Tuu tangata tamaiti haere ika atu Hotu e,g056 g001 g082 g023 g016 g051 g022 g097 g083 g002,10,10,verb det name noun noun verb noun part name det,146
noho manu Hotu haere toruteke no haere,g055 g025 g025 g081 g051 g072 g072 g096 g096 g051,7,10,verb noun name verb num part verb,147
kai Ngaara haere,g052 g083 g051,3,3,verb name verb,148
rima hula matangi tahi,g020 g020 g053 g023 g076 g076,4,6,noun verb noun num,149
tangi he haere manu noho he,g055 g009 g051 g016 g052 g001,6,6,verb det verb noun verb det,150
Tuu raa noho Matua muri tangata haere tangata,g081 g016 g062 g081 g047 g016 g051 g051 g025,8,9,name noun verb name noun noun verb noun,151
te vahine tuku vai Ngaara,g006 g016 g059 g022 g083,5,5,det noun verb noun name,152
Matua ana tangata mo,g085 g101 g101 g038 g098,4,5,name part noun part,153
te haere ika te rua tangata tamaiti kite haere tangata ika tamaiti,g004 g051 g020 g005 g005 g071 g016 g025 g051 g064 g016 g016 g021 g021 g017,12,15,det verb noun det num noun noun verb verb noun noun noun,154
inu te hitu te tahi ua,g051 g002 g071 g005 g071 g019,6,6,verb det num det num noun,155
haere noho te o rakau Rongo haere o moe,g051 g052 g014 g014 g001 g016 g089 g053 g001 g052,9,10,verb verb det det noun name verb det verb,156
ivi hua ana ra tangata te vahine tangata,g023 g018 g098 g101 g101 g022 g002 g019 g017,8,9,noun noun part part noun det noun noun,157
tai tahi tae ko i,g019 g079 g051 g001 g102,5,5,noun num verb det part,158
toru Tuu inu tahi te te na te pe noho,g073 g081 g052 g072 g001 g001 g002 g013 g103 g066,10,10,num name verb num det det det det part verb,159
maui Tuu kai Koihu rima tangata,g016 g082 g082 g061 g089 g071 g018,6,7,noun name verb name num noun,160
vahine vai Hotu matangi matau ora te noho he Hotu,g019 g019 g022 g081 g017 g016 g055 g010 g058 g005 g081,10,11,noun noun name noun noun verb det verb det name,161
i mate noho te mo,g097 g054 g051 g001 g096,5,5,part verb verb det part,162
moe tamaiti vahine,g054 g016 g033,3,3,verb noun noun,163
o te tuku te ki haere,g004 g003 g055 g003 g003 g100 g051,6,7,det det verb det part verb,164
Hotu Hotu Hotu tau uta he i vai manu,g086 g085 g082 g008 g016 g003 g098 g038 g020 g020,9,10,name name name det noun det part noun noun,165
haere te Tangaroa Hotu ki vahine tangata ora noho nga,g054 g001 g081 g081 g096 g021 g036 g058 g054 g002,10,10,verb det name name part noun noun verb verb det,166
ala te noho tamaiti i Tuu te te,g057 g001 g060 g022 g096 g081 g081 g009 g002 g002,8,10,verb det verb noun part name det det,167
ka rakau haere nga ki rima kai Hotu ko ma Tuu,g001 g018 g051 g002 g002 g098 g098 g071 g053 g053 g081 g010 g096 g081,11,14,det noun verb det part num verb name det part name,168
tangata i Tiki haere te tangata ki ora,g033 g098 g098 g084 g052 g001 g017 g017 g096 g057,8,10,noun part name verb det noun part verb,169
tangata haere va manu,g036 g052 g074 g021 g021,4,5,noun verb num noun,170
he tangata Hotu tamaiti ika haere haere tangata rua te,g001 g022 g082 g082 g046 g019 g051 g051 g055 g016 g073 g005,10,12,det noun name noun noun verb verb noun num det,171
Matua vahine ika haere nga Hotu mai ei haere ka he tena,g081 g016 g016 g069 g002 g081 g096 g096 g053 g001 g005 g007,12,12,name noun noun verb det name part part verb det det det,172
haere Hotu rakau tangata rima atu,g068 g081 g016 g027 g031 g102,6,6,verb name noun noun noun part,173
vahine teia inu ora Hotu tamaiti ora tangata mate,g047 g014 g014 g057 g052 g081 g033 g033 g051 g018 g056,9,11,noun det verb verb name noun verb noun verb,174
i moe ika ika atu tangata na haere kai tangata Hotu,g100 g051 g020 g016 g096 g023 g023 g003 g063 g056 g021 g081,11,12,part verb noun noun part noun det verb verb noun name,175
Hotu tangata vahine haere raa rima tamaiti noho Ngaara,g082 g082 g016 g031 g051 g038 g072 g021 g067 g084,9,10,name noun noun verb noun num noun verb name,176
tangata ora marama kai,g021 g021 g070 g070 g016 g051,4,6,noun verb noun verb,177
tangata toruteke tangata tau noho na moe na tangata haere,g016 g071 g021 g001 g001 g052 g015 g057 g099 g021 g057 g057,10,12,noun num noun det verb det verb part noun verb,178
moe ko vai te Hotu ika,g051 g002 g034 g001 g084 g038,6,6,verb det noun det name noun,179
tamaiti kiko tahi Hotu te ivi rakau noho Tane te,g029 g024 g071 g081 g003 g044 g044 g021 g021 g051 g082 g001,10,12,noun noun num name det noun noun verb name det,180
moe tamaiti ana Rongo mai na tangata tangata rima tamaiti tangata,g063 g063 g020 g096 g096 g084 g096 g004 g004 g035 g028 g071 g020 g029,11,14,verb noun part name part det noun noun num noun noun,181
na tangi tau Hotu,g096 g051 g002 g084 g084,4,5,part verb det name,182
Rongo haere tangata ko,g085 g053 g016 g016 g004 g004,4,6,name verb noun det,183
tomo manu na noho te te tangata,g053 g016 g096 g057 g003 g001 g025,7,7,verb noun part verb det det noun,184
te atu e tamaiti tangata,g001 g001 g097 g001 g016 g018,5,6,det part det noun noun,185
ika te vahine tangata manu te ki he,g016 g001 g016 g017 g016 g003 g096 g001,8,8,noun det noun noun noun det part det,186
ai haere tamaiti tamaiti haere,g052 g061 g016 g017 g051,5,5,verb verb noun noun verb,187
te tamaiti Matua,g007 g028 g082 g082,3,4,det noun name,188
mo te tamaiti kite e vahine matangi rua ki,g098 g008 g016 g062 g062 g001 g016 g017 g017 g071 g104,9,11,part det noun verb det noun noun num part,189
te tangata kai,g001 g022 g051 g051,3,4,det noun verb,190
tahi Matua ki rua Makemake Matua tamaiti no hele vahine,g071 g084 g084 g099 g080 g080 g089 g089 g081 g033 g096 g052 g052 g016,10,14,num name part num name name noun part verb noun,191
mai rakau matangi rua nga he he Matua Tuu hele tangata,g100 g016 g017 g071 g008 g001 g001 g001 g093 g083 g051 g018,11,12,part noun noun num det det det name name verb noun,192
haere te ihu vahine tamaiti haere,g052 g001 g016 g023 g045 g051,6,6,verb det noun noun noun verb,193
Matua tahi atu tangata te,g083 g071 g096 g017 g003,5,5,name num part noun det,194
kai tangata haere tau,g065 g035 g052 g001,4,4,verb noun verb det,195
tangata vai hele vai ki va manu tangata,g016 g048 g053 g017 g103 g073 g017 g016,8,8,noun noun verb noun part num noun noun,196
haere te Hotu Rangi motu noho rakau,g062 g002 g002 g082 g084 g016 g051 g016,7,8,verb det name name noun verb noun,197
i Hotu vahine ha ka tangata haere tau tangata haere,g098 g086 g019 g071 g071 g001 g001 g016 g060 g007 g016 g055,10,12,part name noun num det noun verb det noun verb,198
he tamaiti he mo haere Matua,g001 g027 g011 g097 g051 g081,6,6,det noun det part verb name,199
ha nga te,g071 g014 g014 g002 g002,3,5,num det det,200
Tangaroa na ko Hotu hele te te tangata o hoki,g092 g001 g001 g082 g056 g001 g003 g003 g016 g003 g051,10,11,name det det name verb det det noun det verb,201
noho na haere he Matua ki vahine haere,g056 g001 g052 g002 g082 g099 g022 g059,8,8,verb det verb det name part noun verb,202
he mai tangata ko uta haere teia te,g003 g105 g016 g008 g023 g051 g005 g003,8,8,det part noun det noun verb det det,203
na motu he tangata tangata mai te,g001 g020 g006 g021 g018 g097 g002 g002,7,8,det noun det noun noun part det,204
ki pe he,g096 g096 g004,3,3,part part det,205
o rua vahine he huti inu noho kume vahine,g001 g071 g029 g001 g056 g051 g062 g051 g016 g016,9,10,det num noun det verb verb verb verb noun,206
he te noho te haere ika haere,g001 g002 g055 g001 g052 g027 g055 g055,7,8,det det verb det verb noun verb,207
ika tamaiti vahine noho Hotu hula ki tahi moe haere vahine,g016 g018 g021 g053 g089 g054 g097 g071 g052 g052 g054 g028,11,12,noun noun noun verb name verb part num verb verb noun,208
te haere vahine moana rakau Hotu,g003 g052 g016 g016 g016 g016 g087,6,7,det verb noun noun noun name,209
te Ngaara matangi haere hele,g001 g081 g016 g066 g062,5,5,det name noun verb verb,210
ko tahi a haere Hotu na,g001 g001 g073 g096 g056 g081 g097,6,7,det num part verb name part,211
noho haere tau tiki tangata raa ua Hotu ko rakau,g051 g052 g004 g055 g035 g021 g018 g081 g002 g016,10,10,verb verb det verb noun noun noun name det noun,212
ki Tane vai e no Makemake ma tamaiti,g096 g083 g027 g027 g005 g097 g081 g096 g096 g020,8,10,part name noun det part name part noun,213
toru Hotu haere te noho vahine ki motu mai te te,g072 g083 g051 g001 g001 g052 g016 g101 g016 g098 g003 g001,11,12,num name verb det verb noun part noun part det det,214
rakau vahine he i haere i manu,g035 g017 g004 g097 g051 g096 g017 g017,7,8,noun noun det part verb part noun,215
te mai rakau,g007 g007 g099 g027,3,4,det part noun,216
haere nga ki te te teia tamaiti tai tangata,g052 g002 g102 g001 g007 g011 g018 g017 g016 g016,9,10,verb det part det det det noun noun noun,217
ko tangata tahi ma ki,g002 g029 g076 g016 g096,5,5,det noun num noun part,218
tangata ki ko Hotu te i tamaiti ma he manu tangata atu,g017 g096 g003 g082 g012 g012 g105 g035 g026 g001 g031 g031 g026 g096,12,14,noun part det name det part noun noun det noun noun part,219
tangata Koihu hula he tamaiti rima Matua ika noho,g024 g087 g054 g002 g017 g016 g081 g018 g051,9,9,noun name verb det noun noun name noun verb,220
mai kai taringa tamaiti tamaiti,g097 g052 g023 g023 g027 g017,5,6,part verb noun noun noun,221
Ngaara na vahine hitu vahine,g091 g007 g016 g071 g071 g047,5,6,name det noun num noun,222
o ruga inu,g002 g020 g068,3,3,det noun verb,223
Hotu te o o Tuu haere na te vahine,g081 g010 g005 g002 g002 g082 g051 g002 g001 g016,9,10,name det det det name verb det det noun,224
mai he tangata moe iva i atu atu vahine he te,g099 g002 g017 g053 g073 g098 g103 g101 g022 g002 g009,11,11,part det noun verb num part part part noun det det,225
haere he tena haere,g051 g001 g001 g061,4,4,verb det det verb,226
Hotu ika he,g095 g025 g006,3,3,name noun det,227
haere tau he i Hotu i Hotu ma Ngaara tangi ki,g061 g001 g001 g100 g081 g096 g093 g100 g081 g059 g097 g097,11,12,verb det det part name part name part name verb part,228
